1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	VALIDATION	ORIGIN	CLUSTER	TABLE	CELL	NAME_COL1	NAME_COL2	ENTITY_COL1	PREDICATE	ENTITY_COL2
0	1	13	15	0,8666666667	57	2	1	9	9	1	2	7	0,2857142857	9	7	9,17359094407565E-05	0,0010190112	0,0005557338	1,8336319552	1	1	1	9	9	0	0	0,1578947368	0,2162162162	0,2162162162	8	0,6153846154	8	0,8888888889	6	0,8571428571	0	1	1	1	0	0	1	1	1	0	2	263	180	1	3201	3202	130	686	3202	701	2540	440	2539	5424	0,6276747504	0,4681047198	484	1	f	484	710190.1	11:2:1	leagu**divi@3	season**season@2	https://en.wikipedia.org/wiki/Argentine_Primera_Divisi%C3%B3n :Q223170	P3450-1 :sports season of league or competition@en	https://en.wikipedia.org/wiki/2016_Argentine_Primera_Divisi%C3%B3n :Q20993966
0	1	14	13	1,0769230769	63	2	1	10	10	1	5	8	0,625	10	8	9,17359094407565E-05	0,0010190112	0,0005557338	1,8336319552	1	1	1	9	9	0	0	0,1578947368	0,2162162162	0,2162162162	10	0,7142857143	10	1	8	1	0	1	1	1	0	0	1	1	0	0	2	263	9	1	4645	4656	192	1383	4648	1441	3845	1015	3829	9216	0,7043719639	0,4154730903	338	1	f	338	733934.1	8:2:1	leagu**divi@3	season**season@2	https://en.wikipedia.org/wiki/Campeonato_Brasileiro_S%C3%A9rie_D :Q931513	P3450-1 :sports season of league or competition@en	https://en.wikipedia.org/wiki/2015_Campeonato_Brasileiro_S%C3%A9rie_D :Q19483104
0	1	11	10	1,1	75	1	2	11	14	0,7857142857	2	14	0,1428571429	14	14	3,29375598658716E-05	0,2055602751	0,1123884671	1,829015738	1	1	1	87	11	0	0	0,8	0	0,8	9	0,8181818182	9	0,6428571429	9	0,6428571429	1	1	1	1	1	0	1	1	0	0	70	846719	717475	1	2050	2939	28	413	2943	422	570	75	469	2975	0,1777251185	0,1576470588	542	1	f	542	913508.1	6:1:2	countri@3	year_won@2	https://en.wikipedia.org/wiki/United_States :Q30	P17-1 :country@en	https://en.wikipedia.org/wiki/1959_PGA_Championship :Q4569682
0	16	10	4	2,5	30	1	2	10	10	1	10	8	1,25	10	10	0,0071338212	0,0006410811	0,0133908223	0,0478746636	1	1	1	184	10	0	0	0	0,2222222222	0,2222222222	10	1	10	1	10	1	1	1	1	1	11	0	1	1	0	0	1966	32	3	79	22604	22556	1868	304	22605	2884	18453	1844	18365	24777	0,6393897365	0,7412116075	71	1	f	71	510856.16	2:1:2	rider@3	team@3	https://en.wikipedia.org/wiki/Tom_Dumoulin :Q958187	P54 :member of sports team@en	https://en.wikipedia.org/wiki/Team_Sunweb_(men%27s_team) :Q247956
0	4	10	4	2,5	60	3	1	10	10	1	10	3	3,3333333333	10	10	0,0004296735	6,96756074085746E-06	0,0002535467	0,0274803851	1	1	1	23	53	0	0	0	0	0	1	0,1	1	0,1	1	0,1	1	1	1	1	0	0	1	1	0	0	2387	4	1	68	606565	407894	81302	235	606211	100462	17012	2845	16519	549029	0,0283191655	0,0300876639	2	1	f	2	689294.4	5:3:1	player@3	spancol@4	https://en.wikipedia.org/wiki/Jimmy_Nicholson :Q6200957	P1532 :country for sport@en	https://en.wikipedia.org/wiki/Northern_Ireland :Q26
0	3	12	4	3	48	-1	1	12	12	1	1	3	0,3333333333	12	3	0,2055602751	3,29375598658716E-05	0,1123884671	0,0002930689	1	1	1	0	53	0	0	0	0	0	9	0,75	9	0,75	1	0,3333333333	1	1	1	1	0	0	-1	1	0	0	846719	70	1	95163	541823	541823	10658	257	541823	68711	223911	8070	223848	549029	0,1174484435	0,407716168	2	1	f	2	771750.3	10:-1:1	protag_article@3	spancol@4	https://en.wikipedia.org/wiki/FC_Haka :Q275138	P17 :country@en	https://en.wikipedia.org/wiki/Finland :Q33
0	1	46	4	11,5	61	-1	1	37	37	1	1	37	0,027027027	37	37	0,002894945	0,003574861	0,0115412255	0,309747092	1	1	1	0	17	0	1	0	0	0	32	0,6956521739	32	0,8648648649	32	0,8648648649	1	1	1	1	0	0	-1	1	0	0	579	514	37	20	52264	52314	2500	33084	52298	51897	17537	17457	17336	73562	0,3363778253	0,2356651532	67	1	f	67	22336.1	4:-1:1	protag_article@3	film@3	https://en.wikipedia.org/wiki/Shirley_Henderson :Q232889	P161-1 :cast member@en	https://en.wikipedia.org/wiki/Trainspotting_(film) :Q109135
0	4	15	4	3,75	69	0	2	11	14	0,7857142857	11	14	0,7857142857	14	14	0,0083838758	0,0003484654	0,0062593142	0,0556714992	1	1	1	10	21	0	0	0	0	0	2	0,1333333333	2	0,1428571429	2	0,1428571429	0	1	1	1	0	11	1	1	0	0	18302	28	1	37	1968	3846	1880	2224	3824	3727	78	74	71	4772	0,0198551113	0,0148784577	940	1	f	940	976603.4	12:0:2	name@3	notabl@3	https://en.wikipedia.org/wiki/Scott_McClellan :Q1275851	P39 :position held@en	https://en.wikipedia.org/wiki/White_House_Press_Secretary :Q2306431
0	2	12	4	3	51	3	1	5	5	1	5	4	1,25	5	5	0,0612012844	4,87729251860022E-05	0,0354855256	0,0013744456	1	1	1	23	53	0	0	0	0	0	5	0,4166666667	5	1	5	1	1	1	1	1	0	0	1	1	0	0	372150	8	1	1676	606565	407894	81302	235	606211	100462	306917	57963	249560	549029	0,5769644244	0,4545479383	2	1	f	2	380346.2	8:3:1	player@3	spancol@4	https://en.wikipedia.org/wiki/Papa_Alassane_Ndiaye :Q18637790	P27 :country of citizenship@en	https://en.wikipedia.org/wiki/Senegal :Q1041
0	1	9	13	0,6923076923	37	-1	0	7	7	1	1	3	0,3333333333	7	3	0,0071338212	0,0006410811	0,0133908223	0,0478746636	1	1	1	0	11	0	0	0	0	0	6	0,6666666667	6	0,8571428571	2	0,6666666667	1	1	1	1	0	0	-1	1	0	1	1966	32	8	135	3887	3887	338	572	3887	1305	3230	969	3230	4511	0,7425287356	0,7160274884	717	1	f	717	807111.1	4:-1:0	protag_article@3	club**club@3	https://en.wikipedia.org/wiki/Herdi_Prenga :Q19594180	P54 :member of sports team@en	https://en.wikipedia.org/wiki/NK_Lokomotiva_Zagreb :Q959086
